index,ecg
0,-0.06
1,-0.065
2,-0.06
3,-0.075
4,-0.065
5,-0.07
6,-0.07
7,-0.09
8,-0.08
9,-0.095
10,-0.08
11,-0.095
12,-0.08
13,-0.095
14,-0.085
15,-0.09
16,-0.09
17,-0.1
18,-0.085
19,-0.105
20,-0.09
21,-0.045
22,0.005
23,0.015
24,0.045
25,0.155
26,0.14
27,0.045
28,0.005
29,-0.04
30,-0.085
31,-0.2
32,-0.195
33,-0.2
34,-0.2
35,-0.24
36,-0.13
37,0.34
38,1.155
39,1.47
40,-0.155
41,-0.825
42,-0.59
43,-0.35
44,-0.155
45,-0.17
46,-0.14
47,-0.155
48,-0.115
49,-0.125
50,-0.09
51,-0.095
52,-0.065
53,-0.055
54,-0.015
55,-0.005
56,0.035
57,0.045
58,0.09
59,0.11
60,0.15
61,0.18
62,0.205
63,0.225
64,0.23
65,0.22
66,0.235
67,0.23
68,0.2
69,0.17
70,0.12
71,0.075
72,0.04
73,0.02
74,0.005
75,-0.005
76,-0.005
77,-0.01
78,-0.015
79,-0.01
80,0.0
81,-0.005
82,-0.02
83,-0.02
84,-0.015
85,-0.025
86,-0.035
87,-0.045
88,-0.045
89,-0.06
90,-0.065
91,-0.07
92,-0.055
93,-0.06
94,-0.08
95,-0.075
96,-0.09
97,-0.065
98,-0.075
99,-0.08
100,-0.08
101,-0.085
102,-0.09
103,-0.075
104,-0.085
105,-0.095
106,-0.105
107,-0.09
108,-0.095
109,-0.07
110,-0.045
111,0.005
112,0.03
113,0.07
114,0.195
115,0.145
116,0.05
117,-0.015
118,-0.025
119,-0.115
120,-0.18
121,-0.19
122,-0.185
123,-0.185
124,-0.215
125,0.01
126,0.575
127,1.185
128,0.96
129,-0.16
130,-0.74
131,-0.64
132,-0.35
133,-0.175
134,-0.145
135,-0.15
136,-0.145
137,-0.105
138,-0.12
139,-0.09
140,-0.085
141,-0.07
142,-0.04
143,-0.02
144,0.005
145,0.02
146,0.045
147,0.08
148,0.115
149,0.14
150,0.165
151,0.21
152,0.19
153,0.22
154,0.21
155,0.215
156,0.215
157,0.16
158,0.135
159,0.1
160,0.05
161,0.035
162,-0.005
163,0.005
164,-0.005
165,-0.015
166,-0.02
167,-0.01
168,0.0
169,-0.02
170,-0.005
171,-0.04
172,-0.035
173,-0.05
174,-0.04
175,-0.055
176,-0.075
177,-0.05
178,-0.075
179,-0.09
180,-0.08
181,-0.09
182,-0.08
183,-0.075
184,-0.085
185,-0.085
186,-0.095
187,-0.095
188,-0.105
189,-0.08
190,-0.115
191,-0.1
192,-0.095
193,-0.1
194,-0.075
195,-0.005
196,0.01
197,0.055
198,0.185
199,0.145
